pub_number,cit_number
US-10358017-B1,US-2002089208-A1
US-2019081020-A1,US-6344407-B1
US-2019078276-A1,US-6413013-B1
US-2019081193-A1,US-5625202-A
US-2019074783-A1,US-4794312-A
US-2019137390-A1,US-2017284891-A1
US-2019071508-A1,US-10087259-B1
US-2019098538-A1,US-2014080484-A1
US-2019073334-A1,US-2014059487-A1
US-2019088796-A1,US-2012231588-A1
US-2019071508-A1,US-2009214533-A1
US-2019073066-A1,US-2009096760-A1
US-2019074421-A1,US-2015181691-A1
US-2019231241-A1,US-2013253334-A1
US-2019080897-A1,US-2014168576-A1
US-2019080332-A1,US-2012284130-A1
US-2019071875-A1,US-2012042579-A1
US-2019166732-A1,US-2013020941-A1
US-2019073867-A1,US-2007142108-A1
US-2019070380-A1,US-7942148-B2
US-2019075445-A1,US-2007003540-A1
US-2019070380-A1,US-7152602-B2
US-2019079415-A1,US-6339266-B1
US-2019074088-A1,US-6287253-B1
US-2019099086-A1,US-6175752-B1
US-2019073836-A1,US-6095624-A
US-2019138491-A1,US-2018004541-A1
US-2019143882-A1,US-2016200240-A1
US-2019084774-A1,US-2016185534-A1
US-2019143880-A1,US-2016020024-A1
US-2019150243-A1,US-2012306379-A1
US-2019088782-A1,US-2011298017-A1
US-2019086342-A1,US-2011164730-A1
US-2019071255-A1,US-8776958-B2
US-2019073638-A1,US-2009164282-A1
US-2019073889-A1,US-2008106422-A1
US-2019086342-A1,US-2008273662-A1
US-2019088489-A1,US-2006264038-A1
US-2019086342-A1,US-2006062351-A1
US-2019091082-A1,US-2007015738-A1
US-2019138460-A1,US-2006085627-A1
US-2019078390-A1,US-2006162969-A1
US-2019070203-A1,US-2005130937-A1
US-2019166730-A1,US-6477061-B1
US-2019071294-A1,US-5375726-A
US-2019071294-A1,US-4318528-A
US-2019069952-A1,US-5254112-A
US-2019072697-A1,US-2013250109-A1
US-10322869-B1,US-2018222672-A1
US-2019074333-A1,US-2016030754-A1
US-2019082005-A1,US-2015135255-A1
US-2019075224-A1,US-2014168056-A1
US-10369976-B1,US-2014019107-A1
US-2019080588-A1,US-2013319902-A1
US-2019169446-A1,US-2011033721-A1
US-2019070594-A1,US-2008293988-A1
US-2019074618-A1,US-7322850-B2
US-10322869-B1,US-2005045508-A1
US-2019069798-A1,US-2017366921-A1
US-2019129058-A1,US-2017086230-A1
US-2019181985-A1,US-9674019-B2
US-2019080884-A1,US-2015025608-A1
US-2019074647-A1,US-2014027363-A1
US-2019071942-A1,US-2014202713-A1
US-2019081133-A1,US-2014091909-A1
US-2019072714-A1,US-2013000840-A1
US-2019080535-A1,US-2011291798-A1
US-2019100632-A1,US-2011293701-A1
US-2019070441-A1,US-2010108071-A1
US-2019055537-A1,US-2010016672-A1
US-2019073674-A1,US-2010057586-A1
US-2019074838-A1,US-7924073-B2
US-2019072877-A1,US-2008101822-A1
US-2019074375-A1,US-2006172504-A1
US-2019071942-A1,US-2002148615-A1
US-2019126013-A1,US-2002016557-A1
US-2019072608-A1,US-6181149-B1
US-2019070108-A1,US-5002772-A
US-2019178988-A1,US-2019033085-A1
US-2019179025-A1,US-2018024246-A1
US-2019179023-A1,US-2017174227-A1
US-2019137713-A1,US-9690065-B2
US-2019060648-A1,US-2015328465-A1
US-2019187370-A1,US-9703125-B2
US-2019073892-A1,US-2016277891-A1
US-2019068303-A1,US-2013030145-A1
US-2019174275-A1,US-2013304657-A1
US-2019065364-A1,US-2008004054-A1
US-2019064086-A1,US-4701705-A
US-2019064087-A1,US-4701705-A
US-10440468-B1,US-2018139565-A1
US-2019172247-A1,US-2016049000-A1
US-2019069386-A1,US-2015083936-A1
US-2019062254-A1,US-2015025075-A1
US-2019068711-A1,US-9880753-B2
US-10359202-B1,US-2016195297-A1
US-2019062061-A1,US-7938247-B2
US-2019062254-A1,US-2009026163-A1
US-2019062061-A1,US-7233840-B2
US-2019066742-A1,US-2006001742-A1
US-2019162984-A1,US-7286727-B2
US-2019064566-A1,US-7122830-B2
US-2019131970-A1,US-7107560-B1
US-2019101239-A1,US-6830227-B2
US-2019064677-A1,US-6710876-B1
US-2019055593-A1,US-5405760-A
US-2019131970-A1,US-5155389-A
US-2019084845-A1,US-4872959-A
US-2019212459-A1,US-4701015-A
US-2019127184-A1,US-4234990-A
US-2019074588-A1,US-2017004070-A1
US-2019087025-A1,US-2016020994-A1
US-2019129234-A1,US-2015029166-A1
US-2019066642-A1,US-2014202316-A1
US-2019063887-A1,US-9140527-B2
US-2019129116-A1,US-2013230291-A1
US-2019101473-A1,US-2013050696-A1
US-2019083673-A1,US-2012261593-A1
US-2019132979-A1,US-2012286634-A1
US-2019130794-A1,US-2009007784-A1
US-2019130952-A1,US-2006107186-A1
US-2019064267-A1,US-2005000521-A1
US-2019068779-A1,US-2004137955-A1
US-2019129471-A1,US-2003071832-A1
US-2019072483-A1,US-2002011396-A1
US-2019059326-A1,US-6273027-B1
US-2019063006-A1,US-5934821-A
US-2019059605-A1,US-5740574-A
US-10428298-B1,US-4978547-A
US-2019130930-A1,US-2016300562-A1
US-2019066524-A1,US-2018013665-A1
US-2019128737-A1,US-2018002407-A1
US-2019067816-A1,US-9502757-B2
US-2019153296-A1,US-2014034587-A1
US-2019062613-A1,US-2010038582-A1
US-2019177212-A1,US-2007225144-A1
US-2019184981-A1,US-2010283632-A1
US-2019060597-A1,US-4512765-A
US-2019061140-A1,US-3759375-A
US-2019125983-A1,US-3620209-A
US-2019067184-A1,US-9748169-B1
US-2019067268-A1,US-2017148505-A1
US-2019120024-A1,US-2017226842-A1
US-2019066437-A1,US-2014135096-A1
US-2019068928-A1,US-9184198-B1
US-2019108750-A1,US-2014236645-A1
US-2019063993-A1,US-2013077086-A1
US-2019069406-A1,US-2013092420-A1
US-2019063258-A1,US-2012152383-A1
US-2019063258-A1,US-2012064814-A1
US-2019066558-A1,US-2011043551-A1
US-2019063258-A1,US-2011229351-A1
US-2019068224-A1,US-2010329308-A1
US-2019064520-A1,US-6847336-B1
US-2019082299-A1,US-2014024891-A1
US-2019058384-A1,US-2011023703-A1
US-2019059858-A1,US-2010195881-A1
US-2019119301-A1,US-2008150446-A1
US-2019062405-A1,US-2010021440-A1
US-2019056896-A1,US-2009031620-A1
US-2019053508-A1,US-2008118615-A1
US-2019067428-A1,US-2008251849-A1
US-2019128973-A1,US-2006158331-A1
US-2019053616-A1,US-6298866-B1
US-2019053616-A1,US-6364329-B1
US-2019055056-A1,US-6311628-B1
US-2019120602-A1,US-4559876-A
US-2019120602-A1,US-3672304-A
US-2019131875-A1,US-2018152104-A1
US-2019223863-A1,US-2015282806-A1
US-2019053849-A1,US-2015099979-A1
US-2019055120-A1,US-2014028754-A1
US-2019124165-A1,US-2013344899-A1
US-2019055137-A1,US-8110103-B2
US-2019058410-A1,US-2007074386-A1
